,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,1,0.766126609,45,2,0.802982129,9120.0,13,0,6,0,2.0
2,0,0.957151019,40,0,0.121876201,2600.0,4,0,0,0,1.0
3,0,0.65818014,38,1,0.085113375,3042.0,2,1,0,0,0.0
4,0,0.233809776,30,0,0.036049682,3300.0,5,0,0,0,0.0
5,0,0.9072394,49,1,0.024925695,63588.0,7,0,1,0,0.0
6,0,0.213178682,74,0,0.375606969,3500.0,3,0,1,0,1.0
7,0,0.305682465,57,0,5710.0,,8,0,3,0,0.0
8,0,0.754463648,39,0,0.209940017,3500.0,8,0,0,0,0.0
9,0,0.116950644,27,0,46.0,,2,0,0,0,
10,0,0.189169052,57,0,0.606290901,23684.0,9,0,4,0,2.0
